Strategy,Price_Period,Price Delta,% Price Delta,Starting USD,Starting ETH,Ending USD,Ending ETH,Total Value in USD,Total Value % Increase,Returns in USD,Mean Annual % Return,Median Annual % Return,Final Annual % Return,Median-Mean % Return,Trades Made,Fees Paid,Flat Return Per Trade,% Return Per Trade,Sharpe of Returns,Sortino of Returns,Std of Price
DCA every 7 days,High-Low-High-2.csv,306.8907,109.0004,10000.0,0.0,0.0,3.1594,11742.398,17.424,1742.398,3.1904,27.3216,26.3104,24.1313,35,30.0,49.7828,0.7517,0.0014,0.0012,823.2
DCA every 14 days,High-Low-High-2.csv,306.8907,109.0004,10000.0,0.0,0.0,3.1042,11537.3124,15.3731,1537.3124,0.2483,22.8603,23.2136,22.612,18,30.0,85.4062,1.2896,-0.0202,-0.0176,823.2
DCA every 28 days,High-Low-High-2.csv,306.8907,109.0004,10000.0,0.0,0.0,3.2144,11946.8869,19.4689,1946.8869,8.3058,29.8385,29.3982,21.5327,9,30.0,216.3208,3.2665,0.0394,0.0337,823.2
DCA every 1.0 hour,Low-High-1.csv,3280.589,2621.8648,10000.0,0.0,0.0,44.9584,153338.3594,1433.3836,143338.3594,228.9603,140.8787,1070.3946,-88.0816,11739,30.0,12.2104,0.0912,0.9603,0.6563,682.82
DCA every 1 day,Low-High-1.csv,3280.589,2621.8648,10000.0,0.0,0.0,44.9195,153205.7791,1432.0578,143205.7791,228.7084,140.7004,1069.4045,-88.008,490,30.0,292.2567,2.1825,0.96,0.6556,682.82
DCA every 7 days,Low-High-1.csv,3280.589,2621.8648,10000.0,0.0,0.0,44.7988,152794.0673,1427.9407,142794.0673,227.2083,139.2828,1066.33,-87.9255,70,30.0,2039.9152,15.2333,0.9551,0.6581,682.82
DCA every 14 days,Low-High-1.csv,3280.589,2621.8648,10000.0,0.0,0.0,44.4626,151647.5046,1416.475,141647.5046,223.9309,136.571,1057.7679,-87.3599,35,30.0,4047.0716,30.2219,0.9458,0.6679,682.82
DCA every 28 days,Low-High-1.csv,3280.589,2621.8648,10000.0,0.0,0.0,44.5311,151881.1764,1418.8118,141881.1764,224.9004,137.1858,1059.5129,-87.7146,18,30.0,7882.2876,58.8618,0.9506,0.6493,682.82
DCA every 1.0 hour,Low-High-2.csv,1693.7571,183.7303,10000.0,0.0,0.0,3.4541,12837.6748,28.3767,2837.6748,177.2126,155.8713,63.8553,-21.3413,3896,30.0,0.7284,0.0164,0.9595,0.0406,637.56
DCA every 1 day,Low-High-2.csv,1693.7571,183.7303,10000.0,0.0,0.0,3.4485,12816.9341,28.1693,2816.9341,176.09,155.0786,63.3886,-21.0114,163,30.0,17.2818,0.3889,0.9551,0.0404,637.56
DCA every 7 days,Low-High-2.csv,1693.7571,183.7303,10000.0,0.0,0.0,3.413,12684.6834,26.8468,2684.6834,170.9295,150.3746,60.4126,-20.5549,24,30.0,111.8618,2.5172,0.9302,0.0392,637.56
DCA every 14 days,Low-High-2.csv,1693.7571,183.7303,10000.0,0.0,0.0,3.3563,12474.2918,24.7429,2474.2918,164.1215,143.361,55.6782,-20.7605,12,30.0,206.191,4.6399,0.8941,0.0376,637.56
DCA every 28 days,Low-High-2.csv,1693.7571,183.7303,10000.0,0.0,0.0,3.307,12290.8662,22.9087,2290.8662,157.8562,138.1748,51.5507,-19.6814,6,30.0,381.811,8.5918,0.8603,0.0361,637.56
DCA every 1.0 hour,Low-High-Low-1.csv,-5.4803,95.9216,10000.0,0.0,0.0,63.6376,8202.4627,-17.9754,-1797.5373,37.0307,19.2026,-18.0042,-17.8281,8752,30.0,-0.2054,-0.0021,0.3142,0.2488,50.43
DCA every 1 day,Low-High-Low-1.csv,-5.4803,95.9216,10000.0,0.0,0.0,63.6282,8201.2456,-17.9875,-1798.7544,36.9525,19.157,-18.0164,-17.7955,365,30.0,-4.9281,-0.0494,0.314,0.2481,50.43
DCA every 7 days,Low-High-Low-1.csv,-5.4803,95.9216,10000.0,0.0,0.0,63.4754,8181.5505,-18.1845,-1818.4495,36.7582,18.6169,-18.2137,-18.1413,53,30.0,-34.3104,-0.3437,0.3132,0.2463,50.43
DCA every 14 days,Low-High-Low-1.csv,-5.4803,95.9216,10000.0,0.0,0.0,63.7889,8221.9647,-17.7804,-1778.0353,37.3341,19.082,-17.8089,-18.2521,27,30.0,-65.8532,-0.6596,0.3202,0.2495,50.43
DCA every 28 days,Low-High-Low-1.csv,-5.4803,95.9216,10000.0,0.0,0.0,64.0426,8254.6626,-17.4534,-1745.3374,37.8759,19.1275,-17.4814,-18.7484,14,30.0,-124.667,-1.2487,0.3273,0.2533,50.43
DCA every 1.0 hour,Low-High-Low-2.csv,1286.6347,274.2121,10000.0,0.0,0.0,7.7848,15765.5502,57.6555,5765.5502,303.3429,258.4219,103.899,-44.921,4865,30.0,1.1851,0.0214,1.1692,0.1506,663.93
DCA every 1 day,Low-High-Low-2.csv,1286.6347,274.2121,10000.0,0.0,0.0,7.7693,15734.2034,57.342,5734.2034,302.0539,257.5032,103.3341,-44.5507,203,30.0,28.2473,0.509,1.1675,0.1499,663.93
DCA every 7 days,Low-High-Low-2.csv,1286.6347,274.2121,10000.0,0.0,0.0,7.7387,15672.166,56.7217,5672.166,297.1239,254.6103,102.2162,-42.5136,29,30.0,195.5919,3.5247,1.1649,0.1475,663.93
DCA every 14 days,Low-High-Low-2.csv,1286.6347,274.2121,10000.0,0.0,0.0,7.7523,15699.7979,56.998,5699.7979,295.674,253.4657,102.7141,-42.2083,15,30.0,379.9865,6.8476,1.1615,0.1467,663.93
DCA every 28 days,Low-High-Low-2.csv,1286.6347,274.2121,10000.0,0.0,0.0,7.8974,15993.7449,59.9374,5993.7449,298.8294,258.4069,108.0112,-40.4225,8,30.0,749.2181,13.5014,1.1792,0.1483,663.93
All in,2018-2021_price_data.csv,2963.4641,493.4676,10000.0,0.0,0.0,13.2375,49198.7214,391.9872,39198.7214,15.1579,-32.4973,97.9969,-47.6552,1,30.0,39198.7214,97.9969,0.0373,0.058,1194.43
All in,2018_price_data.csv,-618.9297,17.8229,10000.0,0.0,0.0,13.2375,1776.9463,-82.2305,-8223.0537,64.5244,-83.5344,-82.2872,-148.0588,1,30.0,-8223.0537,-82.2872,0.096,0.159,296.85
All in,2019-2021_price_data.csv,3582.2565,2765.8943,10000.0,0.0,0.0,74.1962,275759.6606,2657.5966,265759.6606,305.9733,110.5129,885.6646,-195.4604,1,30.0,265759.6606,885.6646,0.7567,0.6688,1334.9
All in,2019_price_data.csv,-4.2804,96.8145,10000.0,0.0,0.0,74.1962,9652.4098,-3.4759,-347.5902,80.4294,47.5267,-3.4783,-32.9027,1,30.0,-347.5902,-3.4783,0.2305,0.1512,50.43
All in,2020-2021_price_data.csv,3586.5442,2857.0597,10000.0,0.0,0.0,76.6417,284848.8491,2748.4885,274848.8491,791.4082,736.9563,1373.3069,-54.4519,1,30.0,274848.8491,1373.3069,1.2813,0.4911,1434.12
All in,2020_price_data.csv,607.4837,566.9868,10000.0,0.0,0.0,76.6417,56528.5886,465.2859,46528.5886,276.7639,248.2197,464.3342,-28.5442,1,30.0,46528.5886,464.3342,0.8082,0.1705,143.55
All in,2021_price_data.csv,2978.0852,503.2369,10000.0,0.0,0.0,13.4995,50172.7204,401.7272,40172.7204,703.5728,558.3692,402.0039,-145.2036,1,30.0,40172.7204,402.0039,1.0845,0.1051,1025.37
All in,2022_price_data.csv,-1919.3425,48.2828,10000.0,0.0,0.0,2.6864,4813.7964,-51.862,-5186.2036,-167.034,-123.4694,-119.615,43.5646,1,30.0,-5186.2036,-119.615,-0.3674,-0.3687,493.64
All in,High-Low-1.csv,-1287.7728,9.2881,10000.0,0.0,0.0,7.023,926.0261,-90.7397,-9073.9739,-256.3812,-140.8578,-94.1008,115.5233,1,30.0,-9073.9739,-94.1008,-0.3908,-0.3908,278.36
All in,High-Low-2.csv,-1384.5598,59.394,10000.0,0.0,0.0,2.924,5921.5787,-40.7842,-4078.4213,-164.6816,-235.7897,-187.2097,-71.1081,1,30.0,-4078.4213,-187.2097,-0.233,-0.2899,633.59
All in,High-Low-High-1.csv,1991.045,240.251,10000.0,0.0,0.0,7.023,23953.0252,139.5303,13953.0252,-102.9809,-52.7555,42.2354,50.2254,1,30.0,13953.0252,42.2354,-0.2843,-0.2745,503.92
All in,High-Low-High-2.csv,306.8907,109.0004,10000.0,0.0,0.0,2.924,10867.3415,8.6734,867.3415,-51.1436,-8.4256,13.097,42.718,1,30.0,867.3415,13.097,-0.1281,-0.123,823.2
All in,Low-High-1.csv,3280.589,2621.8648,10000.0,0.0,0.0,76.6417,261399.9238,2513.9992,251399.9238,470.9327,326.5255,1877.3559,-144.4072,1,30.0,251399.9238,1877.3559,1.0185,0.2915,682.82
All in,Low-High-2.csv,1693.7571,183.7303,10000.0,0.0,0.0,4.9286,18317.9086,83.1791,8317.9086,490.0416,396.7918,187.1754,-93.2498,1,30.0,8317.9086,187.1754,0.8082,0.0339,637.56
